Time(longsecs),Time(UTC),Earth location,GNSS receiver status,GNSS satellites used,Timing status,Phase lock loop status,Time uncertainty(ns),Timing DAC count,Time quality(&#37;),Time error(ns),
1570190400,2019-10-04 12:00:00.000,57.991719N 10.547463E 129m,GNSS locked,9,Time OK,Coarse lock,1000,9384,90,937,
1570190700,2019-10-04 12:05:00.000,57.991719N 10.547463E 129m,Off,9,Time OK,Free running,6200,9498,90,0,
1570191000,2019-10-04 12:10:00.000,57.991719N 10.547463E 129m,Off,9,Time OK,Free running,14900,9498,90,0,
1570191300,2019-10-04 12:15:00.000,57.991719N 10.547463E 129m,Off,9,Time OK,Free running,24400,9498,90,0,
1570191600,2019-10-04 12:20:00.000,57.991719N 10.547463E 129m,Off,9,Time OK,Free running,34700,9498,90,0,
1570191900,2019-10-04 12:25:00.000,57.991719N 10.547463E 129m,Off,9,Time OK,Free running,46100,9498,90,0,
1570192200,2019-10-04 12:30:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,2800,9502,90,0,
1570192500,2019-10-04 12:35:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,12000,9502,90,0,
1570192800,2019-10-04 12:40:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,21500,9502,90,0,
1570193100,2019-10-04 12:45:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,31600,9502,90,0,
1570193400,2019-10-04 12:50:00.000,57.991719N 10.547463E 129m,Off,10,Time OK,Free running,42700,9502,90,0,
1570193700,2019-10-04 12:55:00.000,57.991719N 10.547463E 129m,GNSS locked,10,Time OK,Coarse lock,100,9505,90,0,
